title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Duck Hunt    ,NES,Nintendo  ,Nintendo R&D1  ,28.31m,26.93m,0.63m,0.28m,0.47m,15th Oct 85  
Call of Duty: Black Ops 3    ,PS4,Activision  ,Treyarch  ,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15  
Call of Duty: Modern Warfare 3    ,X360,Activision  ,Infinity Ward  ,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  
Call of Duty: Black Ops    ,X360,Activision  ,Treyarch  ,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10  
Call of Duty: Black Ops II    ,X360,Activision  ,Treyarch  ,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12  
Call of Duty: Black Ops II    ,PS3,Activision  ,Treyarch  ,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12  
Call of Duty: Modern Warfare 2    ,X360,Activision  ,Infinity Ward  ,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09  
Call of Duty: WWII    ,PS4,Activision  ,Sledgehammer Games  ,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17  
Call of Duty: Modern Warfare 3    ,PS3,Activision  ,Infinity Ward  ,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11  
Call of Duty: Black Ops    ,PS3,Activision  ,Treyarch  ,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10  
Halo 3    ,X360,Microsoft Game Studios  ,Bungie Studios  ,12.13m,7.97m,2.81m,0.13m,1.21m,25th Sep 07  
Call of Duty: Modern Warfare 2    ,PS3,Activision  ,Infinity Ward  ,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09  
Call of Duty: Ghosts    ,X360,Activision  ,Infinity Ward  ,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13  
Call of Duty: Ghosts    ,PS3,Activision  ,Infinity Ward  ,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13  
Halo: Reach    ,X360,Microsoft Game Studios  ,Bungie  ,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10  
Halo 4    ,X360,Microsoft Studios  ,343 Industries  ,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12  
Call of Duty 4: Modern Warfare    ,X360,Activision  ,Infinity Ward  ,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07  
Call of Duty: Black Ops IIII    ,PS4,Activision  ,Treyarch  ,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18  
Halo 2    ,XB,Microsoft Game Studios  ,Bungie Studios  ,8.49m,6.82m,1.53m,0.05m,0.08m,09th Nov 04  
Call of Duty: Infinite Warfare    ,PS4,Activision  ,Infinity Ward  ,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16  
GoldenEye 007    ,N64,Nintendo  ,Rare Ltd.  ,8.09m,5.80m,2.01m,0.13m,0.15m,25th Aug 97  
Star Wars Battlefront (2015)    ,PS4,Electronic Arts  ,EA DICE  ,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15  
Call of Duty: Advanced Warfare    ,PS4,Activision  ,Sledgehammer Games  ,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  
Call of Duty: World at War    ,X360,Activision  ,Treyarch  ,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08  
Call of Duty: Black Ops 3    ,XOne,Activision  ,Treyarch  ,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15  
Battlefield 3    ,X360,Electronic Arts  ,Dice  ,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  
Battlefield 1    ,PS4,Electronic Arts  ,EA DICE  ,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16  
Battlefield 3    ,PS3,Electronic Arts  ,Dice  ,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  
Splatoon 2    ,NS,Nintendo  ,Nintendo EPD  ,7.04m,1.90m,1.80m,3.01m,0.34m,21st Jul 17  
Medal of Honor: Frontline    ,PS2,Electronic Arts  ,EA Los Angeles  ,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  
Gears of War 2    ,X360,Microsoft Game Studios  ,Epic Games  ,6.75m,4.15m,1.91m,0.06m,0.64m,07th Nov 08  
Call of Duty 4: Modern Warfare    ,PS3,Activision  ,Infinity Ward  ,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  
Halo: Combat Evolved    ,XB,Microsoft  ,Bungie Studios  ,6.43m,4.98m,1.30m,0.08m,0.07m,14th Nov 01  
Halo 3: ODST    ,X360,Microsoft Game Studios  ,Bungie  ,6.35m,4.34m,1.34m,0.06m,0.61m,22nd Sep 09  
Call of Duty: WWII    ,XOne,Activision  ,Sledgehammer Games  ,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17  
Gears of War 3    ,X360,Microsoft Studios  ,Epic Games  ,6.22m,4.05m,1.59m,0.07m,0.50m,20th Sep 11  
Gears of War    ,X360,Microsoft Game Studios  ,Epic Games  ,6.09m,3.54m,1.88m,0.07m,0.60m,07th Nov 06  
Destiny    ,PS4,Activision  ,Bungie  ,5.76m,2.53m,2.13m,0.16m,0.94m,09th Sep 14  
Call of Duty: World at War    ,PS3,Activision  ,Treyarch  ,5.43m,2.75m,1.84m,N/A,0.84m,10th Nov 08  
Call of Duty: Advanced Warfare    ,XOne,Activision  ,Sledgehammer Games  ,5.22m,3.25m,1.49m,0.01m,0.48m,04th Nov 14  
Medal of Honor: Rising Sun    ,PS2,Electronic Arts  ,EA Los Angeles  ,5.13m,1.98m,2.23m,0.13m,0.80m,11th Nov 03  
Battlefield 1    ,XOne,Electronic Arts  ,EA DICE  ,5.13m,3.37m,1.26m,0.02m,0.48m,21st Oct 16  
Link's Crossbow Training    ,Wii,Nintendo  ,Nintendo EAD  ,4.98m,3.05m,1.17m,0.29m,0.46m,19th Nov 07  
Halo 5: Guardians    ,XOne,Microsoft Studios  ,343 Industries  ,4.92m,2.94m,1.49m,0.03m,0.45m,27th Oct 15  
Call of Duty: Black Ops IIII    ,XOne,Activision  ,Treyarch  ,4.85m,3.27m,1.12m,N/A,0.46m,12th Oct 18  
Call of Duty: Infinite Warfare    ,XOne,Activision  ,Infinity Ward  ,4.79m,2.91m,1.44m,N/A,0.44m,04th Nov 16  
Splatoon    ,WiiU,Nintendo  ,Nintendo EAD  ,4.71m,1.58m,1.30m,1.56m,0.27m,29th May 15  
Overwatch    ,PS4,Blizzard Entertainment  ,Blizzard Entertainment  ,4.54m,1.84m,1.80m,0.17m,0.73m,24th May 16  
Star Wars Battlefront II (2017)    ,PS4,Electronic Arts  ,EA DICE  ,4.53m,1.70m,1.99m,0.12m,0.73m,17th Nov 17  
Tom Clancy's The Division    ,PS4,Ubisoft  ,Massive Entertainment  ,4.37m,1.49m,2.04m,0.16m,0.69m,08th Mar 16  
Resistance: Fall of Man    ,PS3,Sony Computer Entertainment  ,Insomniac Games  ,4.37m,1.74m,1.72m,0.14m,0.76m,14th Nov 06  
Tom Clancy's Rainbow Six: Siege    ,PS4,Ubisoft  ,Ubisoft Montreal  ,4.36m,1.29m,2.06m,0.36m,0.64m,01st Dec 15  
Call of Duty: Advanced Warfare    ,X360,Activision  ,High Moon Studios  ,4.34m,2.81m,1.13m,0.00m,0.41m,04th Nov 14  
Asteroids    ,2600,Atari  ,Atari  ,4.31m,4.00m,0.26m,N/A,0.05m,01st Jan 81  
Call of Duty: Advanced Warfare    ,PS3,Activision  ,High Moon Studios  ,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14  
Call of Duty: Ghosts    ,PS4,Activision  ,Infinity Ward  ,4.17m,1.79m,1.64m,0.05m,0.69m,15th Nov 13  
Star Wars Battlefront (2015)    ,XOne,Electronic Arts  ,EA DICE  ,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15  
Destiny 2    ,PS4,Activision  ,Bungie  ,4.14m,1.92m,1.44m,0.10m,0.69m,06th Sep 17  
Half-Life    ,PC,Sierra Entertainment  ,Valve Software  ,4.12m,4.03m,0.00m,0.09m,N/A,19th Nov 98  
Far Cry 4    ,PS4,Ubisoft  ,Ubisoft Montreal  ,4.06m,1.18m,2.14m,0.11m,0.63m,18th Nov 14  
Star Fox 64    ,N64,Nintendo  ,Nintendo EAD  ,4.03m,2.78m,0.58m,0.64m,0.04m,01st Jul 97  
Left 4 Dead 2    ,X360,Electronic Arts  ,Certain Affinity / Valve Software  ,3.97m,2.67m,0.88m,0.05m,0.38m,17th Nov 09  
Battlefield 4    ,PS4,Electronic Arts  ,EA DICE  ,3.94m,1.40m,1.74m,0.19m,0.62m,15th Nov 13  
SOCOM: U.S. Navy SEALs    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,3.65m,2.53m,0.81m,0.06m,0.24m,27th Aug 02  
Battlefield 4    ,PS3,Electronic Arts  ,EA DICE  ,3.64m,1.31m,1.50m,0.27m,0.55m,29th Oct 13  
Gears of War: Ultimate Edition    ,XOne,Microsoft Studios  ,The Coalition  ,3.62m,2.88m,0.37m,N/A,0.37m,25th Aug 15  
Star Wars Battlefront    ,PS2,LucasArts  ,Pandemic Studios  ,3.61m,1.93m,1.22m,0.03m,0.44m,20th Sep 04  
Doom II    ,PC,GT Interactive  ,id Software  ,3.61m,2.05m,1.40m,N/A,0.16m,30th Sep 94  
Star Wars Battlefront II    ,PS2,LucasArts  ,Pandemic Studios  ,3.59m,2.18m,1.02m,0.03m,0.37m,01st Nov 05  
Battlefield 4    ,X360,Electronic Arts  ,EA DICE  ,3.54m,2.16m,1.05m,0.02m,0.32m,29th Oct 13  
James Bond 007: Agent Under Fire    ,PS2,Electronic Arts  ,EA Redwood Shores  ,3.53m,1.90m,1.13m,0.10m,0.41m,13th Nov 01  
